cid,pid,label
CHEMBL393929,P06493,0
CHEMBL1242115,O00329,0
CHEMBL1993413,P07949,1
CHEMBL379929,P53778,1
CHEMBL560813,P68400,0
CHEMBL1986943,Q86V86,1
CHEMBL1993661,O15264,1
CHEMBL1991434,P11362,1
CHEMBL1516890,P07333,1
CHEMBL1978166,P36888,0
CHEMBL1967336,Q16539,1
CHEMBL2005478,Q13627,1
CHEMBL305178,P53778,0
CHEMBL1996176,Q16620,0
CHEMBL1982476,O60674,0
CHEMBL1969151,Q14680,0
CHEMBL80619,P68400,1
CHEMBL1682357,P17612,0
CHEMBL1992363,P17612,0
CHEMBL225519,P04626,1
CHEMBL2002726,P78368,0
CHEMBL1975490,Q9H3Y6,1
CHEMBL1966514,Q13627,1
CHEMBL1241300,P35968,1
CHEMBL1969561,Q9H3Y6,1
CHEMBL1516890,P48730,0
CHEMBL1986943,Q9HCP0,0
CHEMBL1998159,Q9BXA7,0
CHEMBL2006836,O95819,1
CHEMBL565612,P49840,0
CHEMBL1987034,P06239,0
CHEMBL1989708,O00444,0
CHEMBL1987034,P05129,0
CHEMBL1996980,P51817,0
CHEMBL1986756,Q9HAZ1,0
CHEMBL1971017,Q00535,0
CHEMBL1241683,P78527,0
CHEMBL2035810,P04626,0
CHEMBL1965836,P05129,0
CHEMBL1997597,P31749,1
CHEMBL1979577,O75582,0
CHEMBL1993584,Q16513,0
CHEMBL335932,P41743,0
CHEMBL1993941,P08581,0
CHEMBL1990885,Q96PF2,0
CHEMBL1982466,Q16620,0
CHEMBL1964382,P51812,0
CHEMBL1949855,Q5S007,1
CHEMBL491758,P36888,0
CHEMBL1682358,O95819,0
CHEMBL1981410,Q14289,1
CHEMBL1972158,P78368,1
CHEMBL207674,P22694,1
CHEMBL1973793,P49336,1
CHEMBL1981215,P49336,1
CHEMBL1965570,Q8N4C8,0
CHEMBL1990885,Q06418,1
CHEMBL1992581,Q16620,0
CHEMBL1964413,P17948,0
CHEMBL1969264,P49840,0
CHEMBL1983589,P48729,0
CHEMBL1242198,P54760,0
CHEMBL1984367,P51617,0
CHEMBL521470,P06213,0
CHEMBL1419458,P51957,1
CHEMBL95692,P12931,1
CHEMBL1969502,P30530,0
CHEMBL1979516,Q12851,0
CHEMBL1985367,Q00535,0
CHEMBL1979690,P11362,0
CHEMBL1989474,P08581,1
CHEMBL2003638,P29597,1
CHEMBL576887,P00533,1
CHEMBL1994669,O43293,0
CHEMBL1967302,P29317,1
CHEMBL1974702,P06493,1
CHEMBL508928,P68400,1
CHEMBL2004771,Q9Y6M4,1
CHEMBL1997617,P10721,0
CHEMBL1993584,O14965,1
CHEMBL78464,Q02156,1
CHEMBL1970217,Q9HBY8,0
CHEMBL1996510,O95819,0
CHEMBL1972849,P35916,1
CHEMBL1969755,P22607,1
CHEMBL2029988,P23458,1
CHEMBL1982874,P48730,0
CHEMBL1995832,Q9HBH9,1
CHEMBL1990885,Q16539,1
CHEMBL2000335,P17948,0
CHEMBL1980391,Q9NWZ3,0
CHEMBL1989267,O96013,1
CHEMBL322712,P05129,1
CHEMBL1997846,Q8IU85,1
CHEMBL1614705,Q96PF2,1
CHEMBL365318,P11362,0
CHEMBL1984711,P06239,0
CHEMBL1984760,P08069,1
CHEMBL1929238,P08631,1
CHEMBL1945559,O75116,0
CHEMBL1973211,Q13464,0
CHEMBL271381,O60674,0
CHEMBL1992536,P08069,1
CHEMBL184847,P17948,0
CHEMBL1971017,P06493,0
CHEMBL1967560,P31751,1
CHEMBL226471,O14757,1
CHEMBL1969102,Q7KZI7,0
CHEMBL1967720,Q7L7X3,1
CHEMBL2002165,P07333,0
CHEMBL1972221,Q06418,1
CHEMBL1971649,Q9BZL6,1
CHEMBL1983111,Q9HCP0,1
CHEMBL1975256,P06213,1
CHEMBL1271642,P17948,0
CHEMBL1241774,P00519,1
CHEMBL1995211,Q16620,0
CHEMBL1164265,Q9Y4K4,0
CHEMBL1991410,Q9UEE5,0
CHEMBL1242754,P42336,1
CHEMBL1998432,Q9H2X6,0
CHEMBL1982466,P22607,0
CHEMBL1983006,P11309,1
CHEMBL370100,Q15139,1
CHEMBL1982957,P27448,0
CHEMBL1976090,P10721,1
CHEMBL1988173,P35968,1
CHEMBL1999811,P06493,1
CHEMBL132348,P05771,0
CHEMBL1988173,P10721,1
CHEMBL2005828,O96017,1
CHEMBL1916891,P51813,0
CHEMBL2003638,P00519,0
CHEMBL1990904,Q9H2G2,1
CHEMBL411903,O60674,0
CHEMBL1972346,O60674,0
CHEMBL1985566,P04629,1
CHEMBL507058,O14965,0
CHEMBL2338333,P54619,1
CHEMBL340611,Q04759,0
CHEMBL1967720,P42685,0
CHEMBL1979176,P48729,1
CHEMBL1973359,Q06418,0
CHEMBL340384,Q8TDC3,1
CHEMBL1990885,Q14164,1
CHEMBL560813,P51957,1
CHEMBL1966628,Q9BZL6,0
CHEMBL1990223,Q04771,1
CHEMBL1682341,P49840,0
CHEMBL1981720,P00519,0
CHEMBL340921,Q8TDC3,1
CHEMBL1241580,P08631,0
CHEMBL1964948,P45983,1
CHEMBL2003482,P22607,1
CHEMBL1976093,P45983,1
CHEMBL1975927,P09619,0
CHEMBL1988163,Q00535,0
CHEMBL1977041,O14920,1
CHEMBL1996646,P49760,1
CHEMBL120077,P49841,1
CHEMBL95692,O95819,0
CHEMBL150894,P09619,0
CHEMBL80793,P17252,1
CHEMBL1998121,Q9Y243,0
CHEMBL1999484,O14965,0
CHEMBL1966703,Q96SB4,1
CHEMBL53596,P24723,0
CHEMBL1981720,Q9HAZ1,0
CHEMBL1968380,Q06418,1
CHEMBL1973937,Q05397,0
CHEMBL1987034,P35916,0
CHEMBL1834657,P36888,1
CHEMBL377408,P45984,0
CHEMBL1987359,Q13131,1
CHEMBL1765781,P35968,0
CHEMBL260135,P29597,1
CHEMBL95825,Q05513,0
CHEMBL2004311,Q13555,1
CHEMBL1967887,P49760,0
CHEMBL2003785,Q13464,1
CHEMBL1997764,Q13554,1
CHEMBL1996048,Q13131,0
CHEMBL2000335,O14965,0
CHEMBL2111784,P00519,1
CHEMBL267019,P00519,1
CHEMBL1986970,P06213,1
CHEMBL365847,P23443,1
CHEMBL2001224,Q14012,1
CHEMBL1967116,Q9NYL2,0
CHEMBL1988300,P48730,1
CHEMBL1975121,P49137,1
CHEMBL507936,P68400,0
CHEMBL1986943,P49841,0
CHEMBL1983393,Q8IU85,1
CHEMBL435191,P17252,1
CHEMBL1974664,P29597,0
CHEMBL2001751,O15530,0
CHEMBL306380,Q9H3Y6,0
CHEMBL1987679,P31751,0
CHEMBL2004118,P11309,1
CHEMBL335012,P17252,0
CHEMBL1999918,P06241,0
CHEMBL1997051,P07333,1
CHEMBL1965131,O14757,1
CHEMBL1988717,Q9NWZ3,1
CHEMBL2004290,Q13555,1
CHEMBL1977619,P11309,1
CHEMBL132348,P24723,0
CHEMBL410295,Q00535,1
CHEMBL1242662,P78527,0
CHEMBL379975,Q12851,0
CHEMBL1976240,O14965,1
CHEMBL1241770,P00519,0
CHEMBL2006836,Q9Y4K4,1
CHEMBL422897,Q7L7X3,0
CHEMBL2002726,P17948,0
CHEMBL272453,P07333,0
CHEMBL1983575,P49336,0
CHEMBL1964937,Q16513,0
CHEMBL1983534,P00519,0
CHEMBL1270399,O14757,0
CHEMBL2000934,Q02750,1
CHEMBL1999590,P08581,1
CHEMBL1999774,O15530,1
CHEMBL1969502,P06239,0
CHEMBL1242569,P78527,0
CHEMBL1988581,P49840,0
CHEMBL259922,P00519,0
CHEMBL1990482,Q14680,1
CHEMBL1992634,O95819,0
CHEMBL2007574,Q00535,0
CHEMBL262433,P00519,0
CHEMBL2004072,Q14012,1
CHEMBL396377,P49841,1
CHEMBL1980246,P08069,1
CHEMBL1241946,P78527,1
CHEMBL1682546,Q8NE63,1
CHEMBL1234815,P42345,1
CHEMBL2004934,P29597,1
CHEMBL1738710,Q15759,0
CHEMBL1973013,Q9HAZ1,0
CHEMBL267019,P17252,1
CHEMBL1973540,Q7KZI7,0
CHEMBL1983449,Q9H2X6,1
CHEMBL189963,P04629,1
CHEMBL2002702,P07948,0
CHEMBL1994526,P52333,1
CHEMBL1994241,P51812,0
CHEMBL1975256,P10721,1
CHEMBL2205766,P51451,1
CHEMBL1682357,Q13464,0
